text_id	title	label
000000001.txt	Les dossiers du Gorafi : Le chat de la mère Michel: Lustucru, un homme vraiment, vraiment inquiétant !	1
000000002.txt	Les dossiers du “Gorafi” : Le chat de la mère Michel, les témoins	1
000000003.txt	Montauban : Son téléphone glisse derrière son lit	1
000000004.txt	Le gouvernement confirme que le bug de l’an 2000 était bien une fausse alerte	1
000000005.txt	Un homme sauve une famille de la noyade avant de se réveiller seul dans son lit	1
000000006.txt	Les ophtalmos américains demandent à JJ Abrams de réduire l’utilisation des flares dans ses prochains films	1
000000007.txt	Insécurité : Le tournage de la série Plus belle la vie pourrait quitter le fameux quartier du Mistral à Marseille	1
000000008.txt	Toulouse: il se fait abattre de 46 balles dans le corps pour avoir demandé un « pain au chocolat »	1
000000009.txt	Ligue des Champions : un supporter déstabilisé de voir l’affiche PSG-FC Barcelone ailleurs que sur PES	1
000000010.txt	L’Horoscope de la semaine du 18 mars 2013	1
000000011.txt	Un jeune homme atteint l’apogée de son existence en faisant l’acquisition d’un ukulélé	1
000000012.txt	Ligue 1: Un supporter stéphanois déçu de ne pas avoir entendu craquer la cheville de Thiago Silva	1
000000013.txt	Habillé dans un costume de papier bulles, il meurt déchiqueté par ses amis	1
000000014.txt	La police découvre plus de 150 wagons de la SNCF cachés dans un appartement en Seine-Saint-Denis	1
000000015.txt	Un toast pose encore des problèmes pour sortir du grille-pain	1
000000016.txt	Chypre: Les employés des agences de notation se plaignent d’horaires contraignants et d’heures supplémentaires	1
000000017.txt	Karim Benzema un peu perdu lors de sa 1ère visite au Pôle Emploi	1
000000018.txt	Le Mont Saint Michel à quai pour des réparations	1
000000019.txt	Bordeaux – Le chien de Michèle Delaunay accusé d’avoir mordu 18 000 personnes en deux ans	1
000000020.txt	Nabila, Véronique Genest : les rebelles syriens perdent tout espoir dans une aide crédible de la France	1
000000021.txt	Découverte d’un algorithme permettant de calculer le degré de stupidite des tweets et statuts Facebook	1
000000022.txt	Bernard de la Villardière fête dans l’intimité l’abrogation du délit de racolage passif	1
000000023.txt	Un enfant gravement malade réconforte un clown d’hôpital sur sa vie	1
000000024.txt	WWF publie sa liste annuelle d’animaux qu’il n’est franchement pas du tout nécessaire de protéger	1
000000025.txt	Un jeune homme peu ou pas touché par la séparation d’un groupe de musique dont il ignorait l’existence	1
000000026.txt	Le remake français de La Chute de la Maison Blanche abandonné après dix minutes de brainstorming	1
000000027.txt	Il fait preuve d’une incroyable sérénité avant de se faire enlever par erreur le mauvais testicule	1
000000028.txt	L’UMP veut rendre les allocataires du RSA imposables à l’ISF	1
000000029.txt	Il menace les passagers d’un train de diffuser un film avec Richard Anconina	1
000000030.txt	Tours – Il gagne deux fois à la Loterie de la Fondation Bill Gates en une semaine	1
000000031.txt	Un philosophe dit avoir décrypté les propos de Sophie Marceau il y a 14 ans au Festival de Cannes	1
000000032.txt	France-Espagne : Karim Benzema annonce qu’il ne chantera pas l’hymne espagnol	1
000000033.txt	Strasbourg : Il s’attend à être jugé par ses amis pour sa collection de DVD	1
000000034.txt	Hollywood : un studio va sortir un film sans zombie, vampire ni super héros	1
000000035.txt	Disparition à 32 ans du doyen des Kevin	1
000000036.txt	Portrait: Sursis, cet inconnu qui accompagne tant de détenus français	1
000000037.txt	Lacanau : un grain de sable en pleine crise existentielle	1
000000038.txt	Paris – Plus de 1500 morts dans une bousculade géante pour profiter du soleil aux Buttes Chaumont	1
000000039.txt	Bloody Lol Cats With Tits, la série qui cartonne aux U.S. débarque enfin en France	1
000000040.txt	Alain Minc va lire un de ses livres dans une émission de D8	1
000000041.txt	M6 dévoile sa nouvelle émission de coaching pour apprendre à coacher	1
000000042.txt	Une lessive entière sans chaussette orpheline	1
000000043.txt	Polaroïd lance un appareil photo Polaroïd Instagram : y’a-t-il des risques de division par zéro?	1
000000044.txt	Découvrez l’incroyable préparation de Daniel Day-Lewis pour interpréter le rôle d’une fougère	1
000000045.txt	Satan « plus qu’impatient » d’accueillir le créateur du Harlem Shake	1
000000046.txt	Provocation : la Corée du Nord va rédiger tout son courrier à l’attention de l’ONU en Comic Sans	1
000000047.txt	Narcoleptique, il parvient à devenir pilote d’hélicoptère	1
000000048.txt	Portrait : Lucinda Bergoglio-Velonzelos, quelle sera la place de la Première dame du pape ?	1
000000049.txt	Le Conseil National du Numérique recommande d’écrire plus petit pour économiser de l’espace sur Internet	1
000000050.txt	Un artiste contemporain se constitue prisonnier pour escroquerie	1
000000051.txt	Accidenté depuis trois jours, il est trop timide pour passer le coup de fil qui lui sauvera la vie	1
000000052.txt	Un spermatozoïde victorieux tente de réconforter ses collègues moins chanceux	1
000000053.txt	Inquiétude dans les DOM TOM : Guadeloupe et Réunion non préparées en cas d’épisode neigeux	1
000000054.txt	[Décryptage] «Eurovision, papauté. Pourquoi la France perd» par Alain Minc, économiste et essayiste	1
000000055.txt	Révélation sur le véritable rêve fait par Martin Luther King	1
000000056.txt	Le poumon manquant du pape François retrouvé sur Ebay	1
000000057.txt	La jumelle maléfique de Christiane Taubira dans les rangs de la « manif pour tous » ce week-end	1
000000058.txt	Un sabot impatient d’apparaître dans un prochain JT de Jean-Pierre Pernaut	1
000000059.txt	Horoscope de la semaine du 25 mars	1
000000060.txt	Alimentaire : il trouve le corps d’un marin-pêcheur dans une boîte de thon	1
000000061.txt	Israël et Palestine pourraient s’entendre sur une interdiction commune de la Zumba	1
000000062.txt	Pour aider le lynchage collectif, Twitter autorise les messages d’insultes de plus de 140 caractères contre Cahuzac	1
000000063.txt	Jérôme Cahuzac devient le premier homme politique à avouer avoir fait quelque chose de mal	1
000000064.txt	Rugby/Dopage : le dealer de Toulon annonce qu’il boycottera la prochaine journée de Top 14	1
000000065.txt	Nikola Karabatic rejouera en équipe de France menotté à un huissier de la FDJ	1
000000066.txt	Le dernier homme qui a confiance dans les politiques commence à douter, un peu	1
000000067.txt	Non, parler à l’arbitre depuis votre poste de télévision ne servira à rien	1
000000068.txt	Trente-cinq ans après, il avoue avoir falsifié la signature de ses parents sur ses contrôles	1
000000069.txt	Nicolas Demorand : « Je démissionne de Libé à cause des jeux de mots en une »	1
000000070.txt	Les fans des Daft Punk impatients de découvrir les morceaux que le groupe a plagiés pour son dernier album	1
000000071.txt	À l’instar de Manuel Valls, ces 4 Français qui ont décidé de soutenir le Barça face au PSG	1
000000072.txt	Des pâtes en forme de dinosaures bien peu reconnaissables une fois cuites	1
000000073.txt	« Je suis un tocard » par Jérôme Cahuzac, ancien ministre du Budget	1
000000074.txt	Un chypriote regarde le dernier billet de 100 euros qu’il verra avant 10 ans	1
000000075.txt	Un homme pense avoir réussi sa semaine en parvenant à ouvrir un pot de confiture vraiment résistant	1
000000076.txt	Nicolas Demorand furieux qu’Edwy Plenel ait refusé sa demande de stage à Mediapart	1
000000077.txt	Confessions Intimes: TF1 en colère: «Rémi Gaillard s’est moqué des téléspectateurs à notre place !»	1
000000078.txt	Carlo Ancelotti « Je pars parce que je ne supporte plus la météo parisienne »	1
000000079.txt	Strasbourg : Il braque un bar-tabac avec une barquette de cannelloni et un poster de Liam Neeson	1
000000080.txt	Un instituteur explique à un élève pourquoi il ne pourra jamais devenir astronaute	1
000000081.txt	Paris – il tire à l’arme lourde dans son jardin pour se détendre	1
000000082.txt	La Fouine : « Je pourrais très bien frapper un candidat de Popstars si ça peut l’aider à percer dans le métier »	1
